text,reaction
তুই সালা একটা ধান্দাবাজ,angry
সিএসও কে বরখাস্ত করা হোক।তিনি বিমানবন্দরে রাজনীতি শুরু করেছেন।,angry
আপনি একজন রিদয বান মানুষ যে অন্য একজনের ব্যথা লাগলে সে ও ব্যাথা পায।,angry
ইমরান সময় আছে এখনো দেশ ছার।,angry
ঐ নিরাপত্তা কর্মকর্তাকে ধরে আচ্ছা মতো ধোলাই করা উচিত ৷ এই চোর ছ্যাচ্চর গুলাই বুক উচিয়ে পাব্লিকের মালামাল ঝেড়ে দিতো ৷,angry
আজ দুইটার সময় দেখলাম।!,happy
যারা একাজ করে তাদেরেকে মা কালি একদিন রক্ত পান করবে,sad
"যদিও পোষ্টের সাথে কথা টা অপ্রাসঙ্গিক, কয়দিন ধরে আপানদের বিভিন্ন টকশো গুলোতে প্রধান বিচারপতি কে দোষী সাব্যস্ত করার মহড়ায় যে নেমেছেন তা কিন্তু বেমানান, আপানাদের অতি উৎসাহী উপস্থাপিকাদের ভাব সাব এমন, পারলে উনারা মিডিয়া ট্রায়েলের মাধ্যমে বিচারপতি কে অপরাধী সাজাবেন, সে যে করে হোক। আজ দেখলাম প্রধান মন্ত্রী পর্যন্ত দুই অকাট্য ও বাচাল মন্ত্রী দ্রয় কে শাসিয়ে ছেন। কিন্তু তার প্রচার তো দেখলাম ই না, বরং অপরিমিত দুই জনকে বাচানোর অপচেষ্টা। এ কর্ম আপনাদের সাথে যায় না।",angry
"এক মা-র সব সন্তান এক রকম হয় না। তেমনি ভাল এবং মন্দ দুইটাই থাকবে। কয়েক জন মন্দের কারণে আমাদের কে সব সময় অস্থির থাকতে হয়। তারপর পিছনে যাবনা বাঁচার মত বাঁচব। যদি মরতে হয় অণ্যায় এর বিরুদ্ধে লড়াই করে মরব। আমাদের প্রথম কাজ রাজাকারদের বিচার চাই।পরে আমরা প্রতিটা অন্যায় এর বিরুদ্ধে লড়ব। তার পর ও যদি আমার মত একটা মানুষের প্রাণ যায় যাক। আমাদের দেশকে আফগান আর পাকিস্তানের মত হতে দিব না। আমি একটা প্রতিষ্ঠানে কাজ করতাম ঐ প্রতিষ্ঠানে একজন জন জামাত শিবির কর্মী আছে। যার নামে অস্র, দোকানলুট সহ আরো একটি মামলা আছে। মোট তিনটি মামলা আছে। তার চাচা দুইজন ইবনে - সিনা তে আছে জামাত কর্মী, আরেক চাচা আমেরিকা আছেন, জামাত শিবির কে আর্থিক ভাবে সাহায্য করে থাকেন। জটিল তিনটি মামলার আসামী হয়ে ও এমন একটি নামকরা প্রতিষ্ঠানে কাজ করছে পারছে কারণ তার ভাই ঐ প্রতিষ্ঠানের চেয়ারম্যান এর পি এস।",happy
"আপনি যেভাবে কথা বলেন, কোনদিন জানি আপনাকেই............",fear
তনু কে নিয়ে তো তোমার কোনো স্টাটাস দেখলাম। তুমি কি ফায়দার জন্য বিচার চাও!!!!,disgust
"তোর কথা শুনে মনে হচ্ছে তুই প্রকৃত মসুলমান না, প্রকৃত মসুলমান দয়া এবং মহানূভবতাশীল।",sad
ধন্যবাদ আপনাকে,happy
সঠিক কাজটা করা হয়েছে।,happy
যমুনা সেতুর পশ্চিম পাড়ে একজন পুলিশ ও তিনজন মানুষ গাড়ী এক্সিডেন্টে মারা গিয়েছিলো।,sad
যাদের জম্মর টিক নাই তারায় এই কাজ গুলা করতে পারে,sad
হয়তবা সে রাঝাকার,angry
স্যলুট দুলাল মামা। গর্ববোধ করছি। :),happy
অাজ জয় হ‌বেই।,happy
আলহামদুলিল্লাহ,happy
ফেইসবুক এর একটা ভালো দিক। যারা এর বিরুদ্ধে কথা বলে তদের মুখ বন্ধ করার জন্য যথেষ্ট।,happy
"আলহামদুলিল্লাহ্ । যাক অবশেষে সুখবর । আল্লাহর রহমতে হারানো আদরের কলিজার টুকরো সন্তানকে মায়ের কোলে ফিরিয়ে দিয়েছে ।। ধন্যবাদ ফেইসবুক, ধন্যবাদ ইমরান ভাই, ধন্যবাদ আইন শৃঙ্খলা বাহিনীকে ।।",happy
ভাই নিজের ধম্ ঠিক রেখে অন্য ধম্ নিয়া পরে কথা বইলেন।।।।আসা করি কথা গুলো আপনার বুঝে আসবে,fear
মিয়া মিয়া,happy
"চরম সাস্তি চাই, তাদের।",angry
আমি প্রয়োজনে সিম ব্যবহার করবনা তারপরো আঙ্গুলের ছাপ দিবনা,sad
ধন্যবাদ সবাইকে,happy
ধন্যবাদ,happy
"ইমরান এইচ সরকার ভাজা মাচ নাখেতে পেড়ে তার জন্য হয়ে গেছে, শালা দালাল কোথায়কার, শালা রনির দশা হবে তোমার।",angry
খুব ভালো লাগলো কয়েকটি ভায়ের মনবতা আছেদেখে,happy
মেসলমানরা পাগল হয়ে যাচ্ছে,fear
ভাল কাজ সবসময় প্রশংসা পাওয়ার দাবি রাখে l,happy
বিভিন্ন বিষয়ে আপনার আন্দোলন আমার খুব ভাল লাগে।,happy
"ভগমানে নিজের মাথা নিজেই সামাল দিতে পারেনা, আপনি চিন্তা করে লাব কি",fear
ওরা মানুষ না,disgust
এই কাজগুলো আওয়ামী গুন্ডাদের কাজ।আর হিন্দুদের কাজ হলো অন্য ধর্মের উপর আগাত করা।,angry
ভন্ডামী শালীরা। অমুসলিম।,angry
ভালতো.... অামার মত অাছে!,happy
ইমরান ভাই এক দিন কোটি কোটি মানুষের ভালবাসায় আপনি মুদেধা হবেন মানুষ বুঝতে শিখেছে,happy
"ভাই এই মা গুলার জন্য একটা গণসচেতনতার পোষ্ট করুন। আমি দেখেছি উনারা নিজেদের নিয়ে এতো ব্যস্ত হয়ে যান যে, বাচ্চাদের কথা মনে হয় মনেই থাকে না। আমি অনেক বার দেখেছি, উনারা চুল ঠিক করতে করতে বা ফোন এ কথা বলতে বলতে বাচ্চারা রাস্তায় চলে যাচ্ছে। যা থেকে বড় যেকোন ধরনের দুর্ঘটনা ঘটতে পারে।",sad
"ভাইজান,সব বিষয়ে আপনি একটু বেশীই বুঝেন!! একটু কম বুঝা যায় না??? সব বিষয়ে আপনার চুলকানি কেন? গণজাগরণ মঞ্চের যে লক্ষ্য তা নিয়েই থাকেন না,এতো কেন হিরো হবার শখ??",disgust
এ গুলি মুর্তি ?না নগ্নো শিল্পো কর্মের প্রোসার ?,disgust
ওনার টক শো লাল গোলাপ আমার খুবেই ভালো লাগে,happy
"অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনাফেক, কাফের, জারজ, নাস্তিক, আস্তিক, মালউন, আরো কত কি কি বলে???????",sad
নাটক বন্ধ করেন। জনগন আপনার মতলব বুঝতে পারে। যত্তসব ফালতু।,angry
হঠাৎ করা বিম্পির উপ্রে তোর দরদ উথলাই উঠলো কেরে ইমরান? খালেদার লগে বিয়া ঠিক হইছে নাকি তোর? 😎,angry
"দারুন লিখেছেন, ''ওঁরে কাঁদতে দেন, যতবার কাঁদবে ততোই আপনার মনের সাহস বাড়বে। যত মনের সাহস বাড়বে, তত দেশ সেবার জেদ বাড়বে।''",happy
ভাই এতদিন আপনার সবকিছুই সাপোর্ট করে গেছি কিন্তু আজকে হয়তো জামাত-বিএনপি আর ৭১ এর দোসরদের সাপোর্ট পাবেন আমার ব্যাক্তিগত সাপোর্ট দিতে পারছিনা।,sad
"ইন্নালিল্লাহি ওয়া ইন্নাইলাইহি রাজিউন।আল্লাহ উনার সব গুনাহ মাফকরে জান্নাত বাসি করুন, আমিন",sad
ভাল কাজের পুরস্কার আর খারাপ কাজের তিরস্কারের সাংস্কৃতি চালু করতে হবে। আমরা ভুলে গেলে চলবেনা পুলিশ ও আমাদেরি মত রক্তেমাংসে গড়া মানুষ।,sad
জানোয়ার দেরকে আর কত গালি দেব?,angry
আপনার এই লেখাটা আমার খুব ভাল লাগলো। Thanks,happy
কখনো যেন থেমে যাবেন না...সকল অশুভ কে দমিয়ে রেখে এগিয়ে যান... ভয় ধরিয়ে দেন এই মানুষ নামের হায়েনাদের বুকে... আপনাদের জানাই হাজার সালাম,angry
কে বলে ফেছবোক কারাফ শহজে একটি অসহায় ছেলে পিরে পেলো হারানো তার মা বাবা কে,happy
"এই সিএস ও র দরকার নাই,,,অনতিবিলম্ব এ এরকম করাপ্টেড অফিসার দের ছাটাই করে দেয়া উচিত,,,সাথে সাথে এই হারামীদের চাঁদমুখ খানা মিডিয়ায়য় প্রকাশের অনুরোধ করছি",angry
অামি গভিরভাবে শোকাহত। অাল্লাহ তাকে বেহেস্ত নসিব করুন।,sad
"যাক, তথ্য টা পেয়ে ভালো লাগলো, আমি তো ভেবেছিলাম আপনি নাস্তিক টাইপের লোক",happy
"সোনার বাংলা সোনার দেশ এরি নাম বাংলাদেশ, মিথ্যা আসে বার বার এরি নাম বাঘ শাল, ধষণ হত্যা গুম বরপুর এহার নাম জামাল পুর, চোরে ডাকাত বরা এহার নাম যে ঢাকা, কথা যত বলবি কম ভালো থাকবি আজিবন, পুলিশ আমগু মামা কাকা জনগন তোরা দিশেহারা।",sad
কিচ্ছু করার নাই Suhrid দাদা। সবই ম্যাজিস্ট্রেট সাবের চক্রান্ত 😹😹😹,disgust
তাই বলে নবী(স) অন্য ধর্মকে অসম্মান করতে বলেন নি,fear
মাননীয় প্রধানমন্ত্রীকে অনুরোধ করব গ্রাহকের কথা বিবেচন করে এই সিষ্টেম বাতিল করা.,angry
কি আর বলবে আমরা অনেক ভাল আছি ।সরকার তার কাজ করবে ।জনগণ ভাল আছে কি,sad
অনুভুতি নাই.....,sad
আমি কেন চাবো এই ভুল বার বার হোক??? আমি ছাই তা যেন আর কখন না হয়...,sad
"বাংলাদেশের ইমিগ্রেশন অফিসাররা বেয়াদব, অসভ্য।",angry
"ভাউ, চট্টগ্রাম এ কখনও আসলে আমার বাসায় থাকবেন, খাবেন, ঘুরবেন.... এরকম একটা ভাই পেলে আমার বুক সব সময় গরবে ভরে উঠবে!!! প্রাউড অফ উ ভাই!!!",happy
এর জন্য কি রাষ্ট্র ধর্ম ইসলাম বাদ দিতে চাইছিলেন।,sad
লোকটা এমনই। কোনো স্ট্যাটাস কাজের না।,sad
আমিও একমত,happy
হেআল্লার তার গুনা সব মাফ করে দিয়,sad
বাইন্ধা ঝুলাইয়া দেন। সব গুলা চোর।,angry
আমি আমার নিরাপত্তা কেনো ভিনদেশী কাছে বিকিয়ে দেব? আমি বাংলাদেশের স্বাধীনতায় শ্রদ্ধাশীল। ফিঙ্গারপ্রিন্ট নিতে হলে সরকারী ভাবে সংগ্রহকরা হোক।,angry
ভাই শূন্য একটা কমান ' এত দিন বাঁচবেন না উনি 😂😂😂😂😂,sad
হায়রে আপনার চেতনা,sad
"অভিনন্দন পুলিশ এবং গণমাধ্যম (ফেসবুক)-কে। শিশুটির জন্য দোয়া রইলো, শিশুটি সত্যিই সৌভাগ্যবান।",happy
জে করছেন খুব ভাল কাজ করছেন দন্যবাদ,happy
সংবাদ টা সবাই বেশি বেশি করে শেয়ার করুন যাতে সব যাএি রা দেখতে পায় এবং তাদের পাওনা বুযে নিতে পারে।,happy
আপনার মত দালাল যত দিন বানান সম্ভব,happy
আর ও ভাল কিছু দেখতে চাই।,happy
জব্বর লিখছেন স্যার—আমিতো ইন্নালিল্লাহ পড়ে ও পড়ি নাই।,happy
"প্রয়োজন এ মোবাইল ব্যাবহার করবো তা,তবু আঙ্গুলের ছাপা দিবো না।",sad
"ভাই Kamruddin Babu#আমার জানামতে বাংলাদেশের আইনানুযায়ী প্রেসিডেন্ট আর প্রধান বিচারপতি ছাড়া বাকি সবার বিরুদ্ধে যে কেউ মামলা করতে পারেন,,,,আইন রক্ষা কারি বাহিনী আইনের আওতায় আনতে পারেন।এখানে আওয়ামীলীগ /বিএনপি etc etc....কেউ আইনের উর্ধে নয়।কিন্তু দুঃখের কথা হলো আমাদের দেশে আইনের ব্যাবহার থেকে অপব্যাবহারটাই বেশি হয়।যেমন কিছুদিন আগেও গোলামআজম কে কেন গ্রেফতার করা হচ্ছেনা তার জন্য এই ইমরান সরকার সাহেবই কিন্তু সরকার কে বিভিন্ন রকম আল্টিমেটাম দিয়েছিলেন,,,,আজ উনিই এর বিরুদ্ধে কথা বলছেন শফিক রেহমানের পক্ষে হয়ে।অথচ এই ব্যাক্তিই কিন্তু কর্মচারী দের বেতন আত্তসাত করে পালিয়ে জাবার সময় বিমান বন্দর থেকে গ্রেফতার হয়েছিলেন।আমি জানিনা আমার এই কথা গুলো ইমরান সাহেবের নজরে আসবে কিনা,,,,যদি আসে তবে উত্তরটা দিবেন আসা করি।",sad
আমরা যারা ছাত্র তাদের ইডি কারড নেই তাই আমার মনে হই এক কপি ছবি না জন্ম নিবন্ধন এর নাম্বার,sad
মরলেবুজবে ছাইয়ানঠকাকেবলে,angry
এটা করা বোকার কাজ।,sad
"যদি আইনে থাকতো তাহলে এমন নির্লজ্জ আচরনের জন্য কোটি টাকা জরিমানা করলেও কম হতো! গরিব, অসহয়া, সহজ-সরল মানুষেরাই সব সময় ভুক্তভোগী",sad
রাজশাহী থেকে আব্দুলপুর মাঝখানে নন্দনগাছী রেল ষ্টেশণ প্রায় বার বছর থেকে বন্ধ নাই কোন ষ্টেশন মাস্টার সাধারন জনগনের যাতায়াত খুব অসুবিধা তাই জনগনের মাঝে খবের সৃষ্টি হচ্ছে কিন্তু মাননীয় রেল মন্তীর সদয় দৃষ্টি দিয়ে নন্দনগাছী রেল ষ্টেশন পুনরাই চালু করার জন্য বিষেশ অনুরোধ।,angry
রাষ্ট্রধর্ম ইসলাম বাতিল দাবির পৃষ্ঠপোষক ৭১ টিভির লাইসেন্স বাতিল করা হোক,angry
ওরা মানুষ না,sad
শফিক রেহমান সাহেব ছোট অপরাধি নাকি বড় অপরাধী এই রায় দেবে আদালত আপনি বলার কে...???,angry
ধন্যবাদ,happy
কেমন করে একটা ভাল কাজ করেছে,happy
এই সরকার জেন ছেলে কে তার মার কাছে ফিরিয়ে দেয়,sad
এ গুলো এই ভাল মানুষ টার আবদান ওনারা পারবে আমাদের কে দেশকে পালটে দিতে,happy
সব তথ্য দেওয়ার পর আবার তথ্য দেওয়া মানেই টেক্স পাকি দেওয়ার জন্য ঠিকমতন নিবন্ধ করে নাই চোরের দল যত সব।,angry
বিচার চাই,angry
"আমিত জানি সব মন্দিরে ঠাকুরা অবস্থান করে, তারপর কথা মন্দির গুলোত আর মাদ্রাসা, মসজিদের সীমানা, হাফিজিয়া মাদ্রাসা বা মুসলিমদের ঈদগাহ মাঠে তৈরি করেনা, যত মন্দির আছে সবই তাদের সীমানা তে, ত কি করে এটা সম্ভব হয়, আমরা যে চোখ বা মাথা থাকতে অচল, আর একমাত্র ইমরান সাহেব সচল,",sad
সহমত,happy
যে মুরতির খমতা নাই নিযেকে বাচানো সেই মুর্তি নিয়ে এত ভাবনা কেন?,angry
"৭১ টিভি ও ফ্রেশ ব্র্যান্ডের সকল পন্য বর্জন করুন, ফ্রেশ থাকুন.... বাংলাদেশের প্রধান ইসলাম বিদ্বেষী মিডিয়া হলো একাত্তর টিভি। আওয়ামীপন্থী সাংবাদিক মোজাম্মেল বাবু ৭১ টিভি শুরু করার পর ২০১৩ সালে মেঘনা গ্রুপের কাছে ৫১% শেয়ার বিক্রি করে দেয়। শুরুর দিক থেকেই ৭১ টিভি প্রচন্ড ইসলাম বিদ্বেষী ভুমিকা পালন করে আসছে। উত্সাহ দেয় নাস্তিকদের বিভিন্ন কর্মকান্ডের। গত কয়েকদিন ধরে রাষ্ট্রধর্ম ইসলাম নিয়ে ৭১ টিভি কিছু টকশো আয়োজন করে। সেই টকশোগুলোতে প্রত্যক্ষ্যভাবে ইসলাম যেন রাষ্ট্রধর্ম না থাকে সেই জন্য বিভিন্ন ধর্মহীন লোকদেরকে টকশোতে এনে ইসলাম বিদ্বেষী মনোভাব প্রচন্ডভাবে প্রকাশ করতে থাকে। ৭১ টিভি সব সময়ই আলেম ওলামাদের হেয় করার চেষ্টায় থাকে। এইভাবে প্রতিনিয়তই মেঘনা গ্রুপের মালিকানাধীন ৭১ টিভি ইসলামের বিরুদ্ধে অবস্থান নিয়ে আসছে। একজন মুসলিম হিসেবে আপনার আমার ঈমানী দ্বায়িত্ব হলো ৭১ টিভি সহ এদের পণ্য বর্জন করা। মেঘনা গ্রুপের উল্লেখযোগ্য ব্র্যান্ড হলো ফ্রেশ। ফ্রেশ ব্র্যান্ডের কোনো পণ্য কিনে মূলত আপনি ৭১ টিভিকেই টাকা দিচ্ছেন। চিন্তা করুন আপনার টাকায় ৭১ টিভি ইসলাম বিদ্বেষী ভুমিকা পালন করছে। আসুন নিজে ও ইসলামকে ফ্রেশ রাখতে ফ্রেশ ব্যান্ড বর্জন করি।",sad
কিছু কিছু জানোয়ার আছে যেগুলো মানুষের ঘরে জন্ম নিয়ে মানুষ হয়নি হয়েছে পশু।,angry
"জনাব magistrate সাহেব আপনার নিরাপত্তা রক্ষী নাই, ওনারা মাননীয় আদালতের সামনে এই ভাবে হট্টগোল কেমনে করতে পারে, এই চোরের দল কে জেলখানার ভিতরে বন্দী করে রাকেন,",angry
আরিফ ভাইকে হাজার ছালাম,happy
এটা আমাদের জাতির জন্ন্য অসম্মান জনক একটা কাজ,sad
।. tnx#তৌফিক,happy
"আমি কিছু কমু না, কইলে যদি,,,,,",fear
কি হয়েছে?,fear
"এই সেই লোক যে, রাজাকার শিরমণি গু আজমের পরিবার কে গায়ের জোরে ভি আই পি সুবিধা দিয়েছিল! https://www.youtube.com/watch?v=Wts4F0zk_8o",angry
ফেজবুক এর মাধ্যমে এটি সহজ হয়েছে । ধন্যবাদ ফেজবুক ধন্যবাদ ডা : ইমরান সাহেব ধন্যবাদ পুলিশ বাহিনীর সদস্য দেরকে,happy
সমালোচনার জন্য ধন্যবাদ। সমালোচনা তারেই সাজে যে ভালবাসতে জানে,happy
"স্যালুট... কিন্তু শাস্তিটা কম হয়ে গেল না!!! আর, মূল কেসের কি হল? যাত্রীর অভিযোগ (মানিব্যাগ থেকে চুরি) কি প্রমান হয়েছে? হলে নিরাপত্তা কর্মী দুজনের শাস্তি কি হল?",sad
তোর বোনরে খামু ।।।।ans:balo kam to,angry
তোমার মত নাম ধারী মুসলমানরা এসব করে বেড়ায় আর দোষ পরে খাটি মুসলমানদের তাই ভাল হয়ে যা,angry
"শাহজালাল বিমানবন্দর যেমন সোনার খনি,তেমনি চোরের ও খনি। আশা করি আপনারা এই বদনাম মুছতে পারবেন একদিন :-)",sad
"জ্বী না ম্যাডাম, রিজেন্টের উর্ধ্বতন কর্তৃপক্ষের কথা বাদদেন ওনাদের অফিসের পিয়ন ও ( সব এয়ার লাইন্সের ই একই অবস্থা ছিল) আপনাকে ধন্যবাদ তো দূরের কথা এই বিষয়ে কথা বলার সুযোগ ই দিত না, যদি না আমাদের এই Magistrates,All Airports of Bangladesh নামক পেজ আর কিছু নিষ্ঠাবান অফিসার না থাকত।।।।। হায় রে বাঙালী ( আফসোস করে বললাম) ধন্যবাদ টা কে পাওয়ার যোগ্য আর দেয় কাদের।।।। ভাই ফীল এগেই প্রাঊড টু সী ইউ পিপল আর ডুইং এ গ্রেট জব।।। হুস আর গীভ ইউ রেস্পেক্ট/ থ্যাংক্স ইটস ডাজেন্ট মেটার বাট উই পিপল আর রিয়েলি গ্লেড,,,,,, ,,, থ্যাংস্ক ফ্রম মাই হার্ট ( বি:দ্র: হয়তো প্রত্যক্ষ না হোক পরোক্ষ ভাবে হলে ও ওই যাত্রী আপনাদের ধন্যবাদ টা দিয়েছেন,, যা আমি বুঝতে পারি নাই,,।।। সে জন্য দু:ক্ষিত)",happy
এই কুকর্মের সঠিক বিচার চাই...,sad
যে দেশে সাধারন মানুষ নিরাপদ না . সেই দেশে প্রতিমার নিরাপত্তা কে দেবে বলেন?,fear
আপনার কথা এবং যুক্তি আমার খুব পচন্দ হয়েছে। এই হল সথ্যিকার দেশ প্রেমিক।আপনি আমার প্রেন্ট হয়ে গেলেন,happy
"প্রথম কথা হলো বাংলা নববর্ষ পালনের সাথে হিন্দুস্থানের সম্পর্ক কি? হিন্দুস্থানে কি বাংলা নববর্ষ পালিত হয়? বাংলাদেশ টা কষ্টে অর্জিত সত্যি কথা।এই কষ্টটা বাংলার হিন্দু, মুসলিম,বৌদ্ধ,খৃষ্টান সবাই করেছিল।কিন্তু আজ কি হচ্ছে প্রতিদিন কোথাও না কোথাও ধর্মীয় সংখ্যালগুদের নির্যাতন করা হচ্ছে,তাদের মন্দিরে প্রতিনয়ত হামলা হচ্ছে।তুমি চাইলে প্রতিদিনের নিউজ লিংক দিব।তার কোনটার বিচার হচ্ছে?বরং তোমার মতো যারা মডারেট, এসব নিউজ শেয়ার করলে আমরা হয়ে যাই সাম্প্রদায়িক। ৭% আছি আরতো মাত্র কয়েকটা বছর ধর্মীয় সংখ্যালগু এদেশে হারিকেন দিয়ে খুজেও পাবে না।বিবিসি র নিউজ দেখ কারা কি করতে চাচ্ছে? ধর্মীয় সংখ্যালগু শেষ হলে মডারেট দের পালা।",sad
বহুত বছর পর আপনার ব্রেইনের কথা সুনলাম,happy
পুলিশ মহান এক কাজ করছে। পূর্বের সব পাপ একদিনে মুছে গেলো।,happy
সমীকরণ বন্ধ কেন?প্লিজ জানাবেন।,angry
দালাল ইমরান সরকারের,angry
এই গুলি বিচার হবে না,sad
"মুক্তচিন্তার নামে ধর্মকে আঘাত নোরাংমি, নবীকে কটাক্ষ মানা সম্ভব নয়ঃ বঙ্গবন্ধু কন্যা মাননীয় প্রধানমন্ত্রী শেখ হাসিনা",happy
"এক চামচ করে মবিল খাওয়া দেন,আর করবে না এই কাজ। :p",disgust
অন্যধর্মের প্রতি আঘাত করলে প্রধানমন্ত্রী তখন সয্যকরতে পারেন।,sad
ধন্যবাদ পুলিশ ভাই,happy
হে যখন ঠেলা শুরু করমু তখন কোনো হিন্দু ঠেলা সামলাইতে পারবিনা ।,angry
দাদা সজ্ঞয় এর নাম ইসলাম,angry
একে ধরিয়ে দিন... চাপাতি নিয়ে ইমরান কে হত্যা করতে চেয়েছে..... পুলিশ কে খবর দিন দেখা মাত্র।। চাপাতি দিয়ে হত্যা করার স্ক্রিনশট কমেন্টে।।,angry
"আওয়ামী লিগের স্বা`থ যেখানেই আছে, সেখানে ন্যায় বিচার তো দূরে থাক, তদন্তও হবে না। যেমন করে দিয়ে মালু হিন্দুর বাচ্চা ডাক্তার কে ময়না তদন্ত সম্পু`ন রুপে বদলে দিলো??? তার পরে তদন্তের নামে তনুর পরিবার কে থ্রেট করে করে মুখই এখন বন্ধ করে দিয়েছে, আর কি বাকি আছে???",fear
তুমি একটা বুকাচুদা শফিক রেহমানের খালেদা জিয়া ক্ষমতায় আসলে। ইমরানের পর দাদারে কবর থেকে উঠিয়ে গ্রেফতার করবে।আওয়ামীলীগ ক্ষমতায় আছে বলে হোলের বিচি নাচিয়ে বড়ই রংয়ের রংয়য়ের কথা বলছো।ইমরানের কোন পোস্টে আর লাইক দিমুনা।ইমরান যে কার তা আজো বুঝলাম না।,angry
সবসময় আপনাদের যে কোন আপডেট পাওয়ার জন্য আকুল হয়ে থাকি!,happy
আগে একটা বছর ই পার করুক না।।।। তারপর বলা যাবে কম কি না বেশি।।। ধন্যবাদ জনাব,disgust
এটাও হয়ত ওদের ঈমানী দায়ীত্বের মধ৽েই পরে !,disgust
বায়বীয় অপরাধ!,sad
শুনে মন খারাপ হয়ে গেল য়ে এমন এক জন গুনি অভিনেত্রী নেই আমাদের মাঝে ।,sad
"ওর পাছায় বাঁশ দিয়ে বিমান বন্দর গোল চত্তরে খাড়া করে রাখা হোক, তাহলে ওরে দেখে আর দূনীতি করতে সাহস পাবে না !!",angry
ধুর ভাই আপনাদের কোন লেখাই ভালমত পরে শেষ করতে পারি না। আগেই চোখ ভিজা যায়! আমার মনে হয় চক্ষে সমস্যা আছে!,sad
তিনটি জিনিস মানুষের গুরুত্ব পূর্ণ সম্পদ (১)আঙ্গুলের চাপ। (২)মানুষের ডিএনএ (৩)চোখের. . . .,sad
হা হা হা...,happy
বাংলা বানান ঠিক করে লিখুন thx vai naki apu .. :),sad
৮১ বছর বয়স হলে কি সব দোষ মাফ। হায়রে চেতনবাজ। তোদের চেতনা জাগবে কবে। খাল্দার নাগর ইমরান - চেতনা বিক্রি কাজ কারবার।,disgust
এ চাপাতি ওলা একে ধরিয়ে দিন।,angry
এমন ভালবাসাই আমাদের প্রশাসনের কাছে সব সময় আসা করি।। ধন্যবাদ,happy
"অপরাধীকে ধরার পরিবর্তে এখন মতাদর্শের ভিন্নতা কারীদের গ্রেফতার করছে,, নিজের স্বার্থে অাঘাত লাগলে অাপনাকে ধরে নিতে সময় নিবে না এই সরকার",fear
ইউরোপ আমিরিকায় যেভাবে পশুপাখীকে ভালবাসে তার সামান্যটুকু ভালবাসাও পায়না আমদের দেশের মানুষ।,sad
যে ঐ কাজ টা করেছে আললাহু যেনো তাহার দুটো হাত ভেঙে দেয়,angry
এই মালু জাতটাই খারাপ গরুর মুত গোবর খেয়ে পশুপাখি হয়ে গেছে,angry
তারা তো মানূষ না মানুষ নামে বেইমান,angry
উ‌চিত হয়‌নি ।প্রকৃত অপরা‌ধি‌কে ধর‌তে হ‌বে।,sad
"পুরাতন চুর গুলিকে বের করে নতুন দের নিয়োগ দেয়ার সময় এসেছে, চুরের মুলহুতা টাকে সবার আগে জেলে ভরা উচিৎ, প্রবাসী দের জন্য এরা এক একটা লাইসেন্স ধারী সন্ত্রাসী।",angry
thx পুলিশ,happy
সব কিচু ঠিক আছে বাট আসরাফুল মাকলুল্কাত এর অর্থ হয়তো উনি জানেন না।@ আলম।,disgust
৭১ টিভি বর্জন করুন,angry
পুলিশ আর মানুষ কোন ভাবেই আলাদা নয়....ভাটি এলাকায় সাধারণ মানুষের সাথে বাধ দেয়ার কাজ করছে,sad
খবরে দেখলাম সাড়ে পাঁচ আপনারা লিখলেন ৮হাজার,sad
এটা অবশ্যই গর্হিত কাজ।,sad
"ধর্ষণের শাস্তি মৃত্যুদণ্ড।যদি ধর্ষক সত্যি সত্যি ধরা খায় এবং তার শাস্তি মৃত্যুদণ্ড দিয়ে দেয়া হয় তখন আবার মানবাধিকার কর্মী, নাট্যকর্মী,এনজিও কর্মী, সংবাদকর্মী ওমুক সংগঠন তমুক সংগঠন চিৎকার চেঁচামেচি শুরু করে দিবে। ওরা তখন বলবে জীবন তো একটাই, সংশোধন হওয়ার সুযোগ দিলেই তো হতো ইত্যাদি ইত্যাদি।ওরা বলার শুরু করবে দেশ মধ্যযুগীয় বর্বরতায় চলে গেছে,মৌলবাদ মাথা ছাড়া দিয়েছে। যারা ধর্ষণ করেছে এবং হত্যা করেছে রাষ্ট্র ইচ্ছা করলে তাদের খোঁজে বের করতে পারে। কয়েকটাকে ধরে প্রকাশ্যে মৃত্যুদণ্ড দিয়ে ফেললে,শিরশ্ছেদ করে ফেললে অতি অল্প সময়ের মধ্যেই ধর্ষণ বন্ধ হয়ে যেত।কিন্তু এটা করতে গেলে তো তথাকথিত সুশীল সমাজ আরো কি কি অধিকার কর্মী আছে না, তাদের গা চুলকায়।কারণ দেশ থেকে এ জাতীয় অপরাধগুলো বন্ধ হলে তো ওরা রাস্তায় নেমে আন্দোলনের সুযোগ পাবে না,বক্তৃতা বিবৃতি দিয়ে পাণ্ডিত্য জাহিরের সুযোগ পাবে না,সুশীলদের গোলটেবিল, লম্বা টেবিল বৈঠক চলবে না! বিশেষ একটা সম্প্রদায়কে গালি দেওয়ার সুযোগ পাবে না।আহ্! আর কতোটা ধর্ষণ হলে আর কতোটা খুন হলে এ জাতি তার করনীয় ঠিক করবে?",angry
এটা একটা নাটক,disgust
